,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
590,Real Madrid,Oscar,player_488049,Aranda,4,1,186,40,-,0.0,3.0,0.0
591,Barcelona,Santiago,player_488287,Ramos Mingo,2,1,178,20,-,0.0,3.0,0.0
592,Real Sociedad,Aritz,player_490310,Arambarri,2,2,188,20,5,0.0,3.0,0.0
593,Cadix,Juan,player_490316,Flere,1,1,1737,10,-,0.0,3.0,0.0
594,Barcelona,,player_490541,Pedri,3,14,178,32,5.3,2.0,3.0,0.67
595,Celta,Iker,player_490726,Losada,4,1,176,40,-,0.0,3.0,0.0
596,Alavés,Borja,player_490799,Sainz,3,9,173,32,4.9,1.0,3.0,0.11
597,Betis,,player_490859,Raul García,4,1,185,40,-,0.0,3.0,0.0
598,Osasuna,Jose Javier,player_490860,Hualde,3,1,450,32,-,0.0,3.0,0.0
599,Celta,José Manuel,player_490862,Fontán,2,6,176,21,4.4,0.0,3.0,0.22
600,Celta,Iago,player_490863,Domínguez,1,1,176,10,-,0.0,3.0,0.0
601,Eibar,Sergio,player_490865,Cubero,2,1,953,21,5,0.0,3.0,0.0
602,Betis,Rodrigo,player_491430,Sánchez,3,7,185,32,4.7,0.0,3.0,0.11
603,Levante,Daniel,player_491436,Cárdenas,1,4,855,10,5.5,0.0,3.0,0.06
604,Eibar,Unai,player_491955,Dufur,2,1,953,20,-,0.0,3.0,0.0
605,Eibar,Eñaut,player_491960,Mendía,4,1,953,40,4.0,0.0,3.0,0.06
606,Alavés,Abdallahi,player_492142,Mahmoud,3,1,173,31,3.5,0.0,3.0,0.06
607,Real Madrid,Lucas,player_493337,Cañizares,1,1,186,10,-,0.0,3.0,0.0
608,Real Madrid,,player_493344,Sergio Arribas,3,1,186,32,5,0.0,3.0,0.0
609,Alavés,Ismael,player_493599,Gutiérrez,3,1,173,32,-,0.0,3.0,0.0
610,Villarreal,,player_493719,Álex Millán,4,1,449,40,4.5,0.0,3.0,0.0
611,Granada,Antonio José,player_494017,Aranda,3,1,5683,32,-,0.0,3.0,0.0
612,Levante,Eusebio,player_494565,Monzó,2,1,855,20,-,0.0,3.0,0.0
613,Levante,,player_494571,Álex Blesa,3,1,855,31,-,0.0,3.0,0.0
614,Sevilla,Carlos,player_494921,Alvarez,3,1,179,32,-,0.0,3.0,0.0
615,Sevilla,,player_494928,Juanlu Sanchez,3,1,179,32,-,0.0,3.0,0.0
616,Celta,Miguel,player_494932,Rodriguez,4,4,176,40,4.4,0.0,3.0,0.0
617,Real Sociedad,Julen,player_495392,Lobete,4,1,188,40,-,0.0,3.0,0.0
618,Levante,Alfredo,player_499018,Pedraza,3,1,855,31,-,0.0,3.0,0.0
619,Cadix,Manuel,player_499056,Nieto,4,1,1737,40,-,0.0,3.0,0.0
620,Cadix,Marc,player_499093,Baró,2,1,1737,21,-,0.0,3.0,0.0
621,Granada,,player_500697,Pepe Sanchez,2,4,5683,21,4.8,0.0,3.0,0.11
622,Betis,Ángel,player_500807,Baena,3,1,185,32,-,0.0,3.0,0.0
623,Elche,,player_501671,Jony Álamo,4,1,954,40,-,0.0,3.0,0.0
624,Villarreal,Fernando,player_502290,Niño,4,12,449,40,5.0,3.0,3.0,0.33
625,Cadix,,player_502666,Kike Carrasco,3,1,1737,32,-,0.0,3.0,0.0
626,Sevilla,Pablo,player_504804,Pérez,2,1,179,21,-,0.0,3.0,0.0
627,Real Sociedad,Gaizka,player_508455,Ayesa,1,1,188,10,-,0.0,3.0,0.0
628,Elche,,player_508462,Diego Bri,4,3,954,40,-,0.0,3.0,0.0
